Predicted,Actual
5.75988306477,1.0
5.75995710021,4.0
5.75987566122,7.0
5.75995710021,6.0
5.75921674576,9.0
5.76206951221,7.0
5.75995710021,4.0
5.75983123996,8.0
5.75994969667,7.0
5.75993488958,7.0
5.75995710021,6.0
6.01874503621,7.0
5.75995710021,6.0
5.75995710021,3.0
5.75995710021,2.0
5.72293937776,5.0
5.75995710021,7.0
5.75995710021,7.0
5.75995710021,7.0
5.75992008249,4.0
5.75995710021,7.0
6.22200687716,8.0
5.75995710021,6.0
5.75995710021,5.0
5.75995339844,8.0
5.75995710021,6.0
5.75995710021,9.0
5.75995710021,2.0
5.75958692299,8.0
5.75986825768,6.0
5.75995710021,5.0
5.75847639131,6.0
6.01578386273,7.0
5.75995710021,7.0
5.75995710021,7.0
5.72293937776,6.0
5.76206951221,9.0
5.75995710021,3.0
5.75995710021,6.0
5.75995710021,6.0
5.75995710021,7.0
5.76206951221,6.0
5.7594388521,9.0
5.7594388521,7.0
5.74626054291,6.0
5.75995710021,6.0
5.75992008249,5.0
5.75995710021,4.0
6.02085769253,5.0
5.759879363,7.0
5.75995710021,6.0
6.02085769253,6.0
5.75995710021,6.0
5.75980902932,1.0
5.75995710021,6.0
6.01874528053,7.0
5.75995710021,5.0
5.75995710021,8.0
5.75921674576,7.0
5.75995710021,7.0
5.75921674576,7.0
5.75995710021,6.0
5.75995710021,5.0
4.98469734074,5.0
5.75995710021,2.0
5.75995710021,7.0
5.68592165531,6.0
5.75884656854,4.0
5.75940183438,4.0
5.75995710021,9.0
5.75995710021,7.0
5.75995710021,7.0
5.7599556195,6.0
5.75995710021,5.0
5.75921674576,9.0
5.75995710021,6.0
6.02085769253,4.0
5.77051916021,4.0
5.75995635986,5.0
5.75995710021,6.0
5.98913110257,8.0
5.75995710021,8.0
5.75995710021,8.0
5.75995710021,5.0
5.75995710021,6.0
5.76206951221,6.0
5.59707912143,6.0
5.75995710021,5.0
5.75995710021,8.0
5.75995710021,2.0
5.75994969667,9.0
5.62880571139,8.0
5.75980902932,8.0
5.75995710021,7.0
5.75995339844,7.0
5.75995710021,6.0
6.02085769253,8.0
6.01874528053,7.0
5.75995710021,4.0
6.27738538995,8.0
5.75995710021,4.0
6.01874528053,7.0
5.75995710021,5.0
5.75881695436,6.0
5.75995710021,5.0
5.75995710021,6.0
6.02085769253,8.0
5.57486848796,7.0
5.75995710021,7.0
6.01874528053,7.0
5.76206951221,5.0
5.75995710021,5.0
5.75995710021,6.0
5.76206951221,7.0
5.7579581432,3.0
5.75947586982,8.0
5.75995710021,7.0
5.75995710021,7.0
5.75255355572,6.0
5.75995710021,5.0
5.75995710021,4.0
5.75980902932,4.0
5.61188621041,6.0
5.75995710021,2.0
5.75995710021,6.0
5.75995710021,5.0
6.01874528053,6.0
6.02033944441,6.0
6.01874528053,8.0
5.73774646674,4.0
5.76206951221,6.0
5.7597720116,3.0
5.75995710021,1.0
5.76418192421,5.0
6.01874528053,8.0
5.75995710021,5.0
6.01874528053,7.0
5.75995710021,7.0
5.75995710021,7.0
5.75995710021,8.0
6.01874528053,3.0
5.7599474756,4.0
5.75995710021,7.0
5.75995710021,5.0
5.75995710021,3.0
5.75995710021,7.0
5.75995710021,7.0
6.28175828484,6.0
6.02085769253,7.0
5.75906867487,5.0
5.75995710021,7.0
5.75995710021,6.0
5.75995635986,6.0
5.75995710021,4.0
5.75995710021,5.0
5.75995487915,5.0
5.75995710021,7.0
5.75995710021,7.0
5.75989787186,3.0
5.75958692299,4.0
5.75255355572,3.0
5.75992008249,5.0
5.75995710021,7.0
5.61188621041,6.0
6.12946257104,7.0
5.75995710021,7.0
5.75995710021,6.0
5.75995710021,3.0
6.23234900609,8.0
6.34955364469,6.0
5.75994821596,3.0
5.75921674576,9.0
5.75995710021,5.0
5.77051916021,9.0
5.75995710021,6.0
5.76206951221,8.0
5.76840674821,7.0
5.75921674576,7.0
5.74144823899,5.0
5.75995710021,5.0
6.02085769253,7.0
5.75884656854,4.0
5.75995710021,6.0
5.75995710021,5.0
5.66371102184,5.0
5.50083304306,7.0
5.73774646674,5.0
5.75995710021,7.0
5.44900823163,7.0
5.75995710021,8.0
5.75995339844,5.0
5.75993488958,7.0
5.75995710021,8.0
6.01874528053,1.0
5.75810621409,5.0
5.75995710021,4.0
5.75514479629,5.0
5.75995710021,8.0
5.75995710021,7.0
5.75255355572,6.0
5.75994969667,4.0
5.75995710021,9.0
5.75984604705,2.0
5.53785076551,6.0
5.75995710021,5.0
5.75921674576,5.0
5.75995710021,5.0
5.75990914005,6.0
5.76206951221,7.0
5.75921674576,7.0
5.75255355572,4.0
5.7340446945,5.0
5.75995710021,5.0
5.75995710021,5.0
5.75995710021,7.0
5.75995710021,6.0
5.75995710021,6.0
5.75551497352,4.0
6.01874528053,7.0
5.76418192421,6.0
5.75995710021,5.0
6.02085769253,6.0
5.75773603687,5.0
5.75255355572,9.0
5.75995710021,4.0
5.75940183438,6.0
5.75995710021,5.0
5.75995710021,6.0
5.75984604705,8.0
5.75995710021,7.0
5.75995710021,5.0
6.27753346084,8.0
5.75947586982,5.0
5.75995710021,6.0
5.75995710021,8.0
5.75995710021,2.0
6.27753346084,7.0
5.75995710021,8.0
5.75995710021,7.0
5.75958692299,5.0
6.02073183227,1.0
5.75995710021,4.0
5.75784468821,4.0
6.01345414804,4.0
5.52515608853,7.0
5.75625532797,3.0
6.07445903911,6.0
5.73774646674,3.0
5.27872670835,8.0
5.75988306477,3.0
5.75995710021,4.0
5.75995635986,7.0
5.75810621409,3.0
5.75995710021,6.0
5.75995635986,5.0
5.75995710021,6.0
6.02085769253,6.0
6.02085769253,6.0
6.27964587284,6.0
6.02085769253,7.0
5.76414490649,5.0
5.75995710021,7.0
5.76206951221,6.0
7.06234764978,6.0
5.75995117738,2.0
5.75993859135,3.0
5.75995710021,4.0
6.01874528053,7.0
5.75995710021,7.0
6.01874528053,6.0
5.75995710021,7.0
5.75995710021,5.0
5.61155033357,8.0
5.76418192421,6.0
5.75932779893,5.0
5.75988306477,5.0
5.74085595543,4.0
5.75988306477,2.0
6.01867124508,7.0
5.75995710021,8.0
5.75988306477,1.0
5.75995710021,7.0
6.53632164116,8.0
5.76206951221,8.0
5.75995710021,6.0
5.75995710021,6.0
5.75995339844,2.0
5.75992008249,7.0
5.75995710021,6.0
5.75995710021,6.0
6.02085769253,7.0
5.75969797616,3.0
5.75995710021,3.0
5.75995710021,5.0
5.75847639131,4.0
5.75995710021,8.0
5.75107284682,7.0
5.75992748603,6.0
5.75980902932,7.0
5.75995710021,6.0
5.75995710021,7.0
5.75995576757,8.0
5.75255355572,7.0
5.75921674576,3.0
5.75670694418,8.0
5.75995710021,9.0
5.75995710021,3.0
5.75995710021,6.0
5.75995710021,6.0
5.75995710021,7.0
5.94682224762,7.0
5.75995710021,6.0
5.75995710021,6.0
5.57808568143,6.0
6.27457204305,7.0
5.76418192421,5.0
5.75995710021,4.0
5.7599556195,6.0
5.75995710021,9.0
5.75940183438,6.0
5.75995710021,5.0
6.02508251652,8.0
5.61188621041,6.0
5.75736585964,5.0
5.76206951221,2.0
5.75995710021,4.0
5.75995710021,7.0
5.75995710021,4.0
5.75995710021,8.0
5.76206062796,6.0
5.70072874429,8.0
5.75773603687,3.0
5.75988306477,7.0
5.75255355572,4.0
5.76206951221,7.0
5.76206951221,7.0
5.75995710021,8.0
6.27753346084,5.0
5.75995710021,6.0
5.75995710021,6.0
5.7599052754,4.0
5.73774646674,3.0
5.75995710021,5.0
5.75995710021,5.0
5.68592165531,6.0
5.75995710021,3.0
6.02085769253,4.0
5.75994229312,2.0
6.01874528053,3.0
5.73700611229,3.0
5.75995710021,6.0
5.75995710021,6.0
5.75995710021,7.0
5.75773603687,7.0
5.75995710021,5.0
5.75995710021,6.0
5.75991267895,3.0
5.76058880331,6.0
5.75995710021,6.0
5.75995710021,9.0
5.75995710021,7.0
5.75995710021,5.0
6.50100673394,6.0
5.75958692299,9.0
5.75992008249,3.0
5.76206951221,2.0
5.73034292225,5.0
5.75995710021,5.0
5.75995710021,7.0
5.75995710021,3.0
5.75947586982,7.0
5.7597720116,6.0
5.75995710021,7.0
5.73774646674,5.0
6.28175828484,6.0
5.75995710021,6.0
5.75958692299,8.0
5.75988306477,6.0
5.75995710021,6.0
5.75992008249,5.0
5.75995710021,8.0
5.75995710021,4.0
5.75995710021,5.0
5.75958692299,4.0
5.75995710021,7.0
5.75995710021,7.0
5.73034292225,4.0
5.75995710021,2.0
5.75995710021,8.0
5.75921674576,7.0
5.54207558951,6.0
5.75995710021,7.0
5.74144823899,7.0
5.7597720116,6.0
5.75995710021,8.0
6.01874528053,6.0
5.53785076551,7.0
5.69384825155,7.0
6.01874528053,7.0
5.75403426462,8.0
5.75995710021,6.0
5.75995710021,8.0
5.75995710021,6.0
6.01134173604,5.0
6.01874528053,6.0
5.75784468821,7.0
5.76206951221,5.0
5.75995710021,6.0
5.75995710021,7.0
5.75440444185,5.0
5.75995710021,5.0
5.75995710021,7.0
5.75988306477,3.0
5.75995710021,6.0
5.75995710021,4.0
5.75958692299,7.0
5.76206951221,6.0
5.75995710021,3.0
5.75995710021,7.0
6.01874528053,2.0
5.75995710021,6.0
6.27605275194,8.0
5.74515001123,6.0
5.7597720116,8.0
5.75995710021,8.0
5.75995710021,8.0
5.75995710021,8.0
5.75994969667,3.0
5.72293937776,4.0
5.3157444308,8.0
5.75995710021,7.0
5.75966095843,3.0
5.75995710021,4.0
5.76206951221,6.0
5.75958692299,6.0
5.94470983563,7.0
5.76206951221,5.0
5.75995710021,5.0
5.75925376349,7.0
5.76206951221,8.0
5.75995710021,6.0
5.75994969667,7.0
6.02297010453,7.0
5.75988306477,6.0
5.75995710021,2.0
5.75995710021,7.0
5.75995710021,2.0
5.74515001123,5.0
6.01874528053,9.0
5.75994007206,5.0
5.75995710021,7.0
5.75995710021,7.0
5.75995710021,8.0
5.73034292225,5.0
5.75873791719,3.0
5.75995710021,7.0
5.75995710021,9.0
5.75995710021,7.0
6.01874528053,6.0
5.75995710021,5.0
5.75995710021,6.0
5.74885178348,8.0
5.75995710021,7.0
5.75995710021,7.0
6.01874528053,6.0
5.75995710021,6.0
5.75995710021,8.0
5.75987566122,7.0
5.74885178348,2.0
5.75994525454,5.0
5.76206951221,7.0
4.27924820218,7.0
5.75994969667,6.0
5.75995710021,5.0
5.7599556195,3.0
6.01345414804,6.0
5.7594388521,5.0
6.03084868345,9.0
5.75992008249,7.0
5.75995710021,5.0
5.75994229312,7.0
5.75995710021,3.0
5.74885178348,3.0
6.01874528053,5.0
5.75917972804,5.0
5.75995710021,6.0
5.75995710021,6.0
5.75995710021,8.0
5.75995710021,6.0
5.75994229312,4.0
5.75995710021,7.0
6.01874528053,6.0
5.71024470078,6.0
5.75995710021,6.0
6.01874528053,8.0
5.75107284682,8.0
5.76840674821,7.0
5.75255355572,2.0
5.75995710021,3.0
5.74663072013,5.0
5.75991267895,8.0
5.75995710021,5.0
5.75994969667,1.0
5.73700611229,5.0
5.75995710021,4.0
5.75995710021,3.0
5.75995710021,9.0
5.75995710021,5.0
5.75995710021,9.0
5.75995710021,7.0
6.01859720964,8.0
6.02085769253,4.0
5.75995710021,6.0
5.75988306477,7.0
5.75995710021,5.0
5.75984604705,7.0
5.75995710021,6.0
5.75995710021,6.0
5.76118108687,7.0
5.75995710021,7.0
5.75995710021,1.0
5.75995710021,6.0
5.75995710021,8.0
5.75995710021,5.0
5.75995710021,7.0
5.75995710021,5.0
5.75995710021,5.0
5.75995710021,7.0
5.75995710021,6.0
5.75995710021,2.0
5.75810621409,1.0
5.75995710021,7.0
5.75995710021,3.0
6.02222975008,6.0
5.75995710021,6.0
5.76206951221,6.0
5.75784468821,2.0
5.75995710021,7.0
5.75994969667,2.0
5.75994673525,7.0
5.75995710021,6.0
5.75736585964,3.0
5.75995710021,7.0
5.75784468821,7.0
5.75995710021,7.0
5.75995710021,9.0
5.75995710021,8.0
5.75995710021,2.0
5.75995710021,6.0
5.75995710021,7.0
5.75995710021,6.0
5.75903165715,5.0
5.75995710021,8.0
5.75995710021,2.0
5.75995339844,5.0
5.75995710021,7.0
5.75625532797,3.0
5.75992008249,7.0
5.7597557238,6.0
5.75810621409,4.0
5.75995710021,3.0
5.75995710021,7.0
5.75958692299,6.0
5.75995710021,5.0
6.02068000746,5.0
6.27753346084,5.0
6.02085769253,6.0
5.75995710021,5.0
5.75995710021,5.0
5.75995710021,7.0
5.07883100712,6.0
5.75995710021,3.0
5.75995710021,7.0
5.75995710021,5.0
5.75995710021,6.0
5.75625532797,5.0
5.76206951221,8.0
5.75936481665,6.0
6.27753346084,3.0
5.75995710021,9.0
5.75995710021,3.0
5.75995710021,5.0
6.15609238977,8.0
6.02085769253,7.0
5.74515001123,5.0
5.75992008249,4.0
6.01863422736,2.0
5.75995710021,3.0
5.75995710021,6.0
5.75514479629,3.0
5.75994969667,6.0
5.75995710021,5.0
5.7599558194,3.0
5.75995710021,5.0
5.75995710021,5.0
5.75995710021,6.0
6.27753346084,6.0
5.75995710021,2.0
5.76206951221,9.0
5.75995710021,7.0
5.76206951221,8.0
7.57992401041,7.0
5.75995710021,4.0
5.76418192421,5.0
6.01937698363,6.0
5.75995710021,1.0
5.76206951221,5.0
6.01874528053,3.0
5.75995710021,4.0
5.75995710021,7.0
5.75991267895,7.0
5.75921674576,4.0
5.75995710021,7.0
5.75995710021,7.0
5.75995710021,4.0
5.75992008249,6.0
5.75995710021,5.0
5.75995710021,6.0
5.76418192421,2.0
5.75255355572,7.0
5.75847639131,7.0
5.75995710021,7.0
5.75995710021,6.0
5.75995710021,7.0
5.75995710021,6.0
5.75995710021,8.0
5.75992378426,8.0
5.75995710021,8.0
5.75993488958,6.0
5.67322697833,6.0
5.75736585964,8.0
5.76206951221,6.0
6.02297010453,7.0
5.75847639131,6.0
5.98913110257,6.0
5.75994821596,3.0
5.75995710021,7.0
5.76206951221,7.0
5.75995710021,4.0
5.75847639131,5.0
5.75995710021,5.0
5.75995710021,6.0
5.75995710021,5.0
6.01830106786,3.0
5.75995710021,7.0
5.75995710021,3.0
5.75995710021,8.0
5.75995710021,6.0
5.75995710021,6.0
5.75995710021,8.0
5.76206951221,8.0
5.75995710021,6.0
6.02085769253,1.0
5.74874313213,3.0
6.02297010453,7.0
5.75995710021,7.0
5.75995710021,6.0
5.74959213793,6.0
6.41997734131,7.0
5.75995710021,5.0
5.75995710021,5.0
5.97854883758,6.0
5.75994969667,6.0
5.75736585964,2.0
5.74144823899,5.0
5.75847639131,9.0
6.54477128915,8.0
5.75995710021,5.0
5.75995710021,8.0
5.75995710021,7.0
5.76418192421,7.0
5.75988306477,1.0
5.75995710021,4.0
5.75995710021,6.0
5.75992748603,1.0
5.74515001123,5.0
5.75995710021,7.0
5.75995710021,4.0
5.75993859135,6.0
5.7597720116,1.0
5.7543304064,4.0
5.75995710021,6.0
5.75995710021,7.0
5.75940183438,6.0
5.50083304306,5.0
5.75736585964,7.0
5.75995710021,5.0
5.75995710021,4.0
5.74589036568,3.0
5.75995710021,7.0
5.75995710021,7.0
5.75995710021,7.0
5.75995710021,8.0
5.75995710021,2.0
5.75958692299,6.0
7.05389800178,7.0
5.75866147993,5.0
5.65630747735,7.0
5.75993859135,7.0
5.75255355572,5.0
5.75958692299,7.0
5.75995710021,8.0
6.01874528053,9.0
5.75995710021,6.0
5.75995710021,6.0
5.75625532797,8.0
5.75995710021,4.0
5.75995710021,7.0
5.72886221335,6.0
5.75988306477,8.0
5.75995043702,5.0
6.27753346084,7.0
5.75995710021,5.0
5.75995710021,6.0
5.76418192421,6.0
5.75995710021,8.0
5.75995710021,5.0
5.75995710021,6.0
5.75995710021,6.0
5.75995710021,2.0
5.75995710021,7.0
5.75995710021,1.0
5.75995710021,6.0
5.75995710021,5.0
5.75995710021,5.0
6.02085769253,7.0
5.76206951221,7.0
5.75995710021,6.0
5.75995710021,7.0
5.75986825768,6.0
5.75866147993,7.0
5.75995710021,8.0
5.75995710021,7.0
5.75995710021,6.0
5.75995710021,6.0
5.75995710021,3.0
5.75505391779,7.0
5.75994969667,7.0
5.75995710021,8.0
5.75995710021,5.0
5.75993340887,6.0
5.75995710021,2.0
6.22993347341,7.0
5.76206951221,7.0
5.75995710021,6.0
5.75995339844,3.0
5.75993859135,7.0
6.27494222027,5.0
5.75995710021,6.0
5.75810621409,4.0
5.9669204691,8.0
5.76418192421,7.0
5.74515001123,4.0
5.75995710021,9.0
6.53632164116,7.0
5.75995710021,5.0
5.75993488958,5.0
5.75988306477,8.0
5.75995710021,8.0
6.02085769253,7.0
5.75995710021,5.0
5.75995710021,6.0
5.75995710021,7.0
6.08901042987,8.0
5.75993488958,4.0
5.75986825768,6.0
5.75995710021,7.0
5.75995710021,7.0
5.75995710021,6.0
5.75551497352,8.0
5.75995710021,9.0
5.7599052754,4.0
5.7641300994,6.0
5.75995710021,5.0
5.75984604705,6.0
